Positive,Negative
"Genetic deletion of the miR-223 gene exacerbated ethanol-induced hepatic injury, neutrophil infiltration, reactive oxygen species (ROS) and upregulated hepatic expression of interleukin (IL)-6 and phagocytic oxidase (phox)p47phox",Notch1-siRNA could partially reverse the effect of miR-34a inhibitor in inducing chemoresistance of MCF-7 cells to ADR.
"srebf1 is a target gene for miRNA-103-3p and miRNA-107-3p, fasn a target gene for miRNA-122-5p and cpt1a a target gene for miRNA-107-3p",Loss of function of the miR-200 family phenocopies the terminal differentiation defect observed in absence of all miRNA activity in olfactory progenitors.
"Western blot analysis revealed that the levels of Sox2, the target of miR-145 were decreased by 34% and the expression of cytokeratin-20 (CK-20), the differentiation marker was increased by 67%, compared to the vector-transfected controls","ChIP assays showed that miR-92a-3p enhances H3 acetylation on aggrecan (ACAN), cartilage oligomeric protein (COMP) and Col2a1 promoter, and also promotes relative cartilage matrix expression."
Exosomes from miR181-5p-ADSCs down-regulated Stat3 and Bcl-2 and activated autophagy in the HST-T6 cells,"Taken together, these findings demonstrate that miR-145 downregulates P-ERK expression by targeting PAK4 and leads to inhibition of tumor growth."
the effective anti-fibrotic function of engineered ADSCs is able to selectively transfer miR-181-5p to damaged liver cells and will pave the way for the use of exosome-ADSCs for therapeutic delivery of miRNA targeting liver disease.,"These data reveal new insights into the disease biology and have implications regarding tumor diagnosis, prognosis and therapy."
"MiR-181a can promote HCC metastasis by targeting PTEN, which is regulated by lncRNA XIST.",MiRNAs are short non-coding RNAs of about 19-25 nt length that regulate gene expression by post-transcriptional mechanisms and are frequently deregulated in human malignancies including cancer.
"miR-29b exerted its antifibrotic function was by directly inhibiting PIK3R1 and AKT3, causing inactivation of the PI3K/AKT signaling pathway, and ultimately inducting apoptosis of activated HSCs.","Since epigenetic regulation is a common mechanism influencing the expression of tumor suppressors, we hypothesized that downregulation of THRB in renal cancer results from epigenetic aberrances, including CpG methylation and microRNA-dependent silencing."
long non-coding RNA MALAT1 as a molecular sponge of miR-146b-5p to down-regulate its expression in HCC,"Although it has been reported that overexpression of miR-125b leads to T-ALL development, the underlying mechanisms of miR-125b action are still unclear."
miR- 146b-5p inhibits tumor growth and metastasis of HCC by targeting TRAF6 mediated Akt phosphorylation.,"Moreover, HER2 status correlates with high PARP1 and low let-7a in breast cancer clinical specimens."
We found that miR-199a overexpression reduced FOXA2 3=-UTR luciferase activity compared with control and point mutation of the miR-199a binding site in the 3=-UTR FOXA2 luciferase vector abolished the suppressive effects of miR-199a (Fig.3B).,"A set of five miRNAs, including the three most up-regulated ones (miR-221, -222, and -146), distinguished unequivocally between PTC and normal thyroid."
"To further validate the interaction between miR-199a and FOXA2 in vitro, miR-199a was overexpressed in PANC-1 cells.","Hence, F.n."
"We examined FOXA2 mRNA and protein levels and found that FOXA2 levels were significantly decreased in miR-199a-overexpressing pancreatic cancer cells (Fig.3, C and D).",The data demonstrate for the first time a critical function of microRNAs in fine-tuning the regulation of glucose transport in skeletal muscle.
"Taken together, these findings suggest that miR-199a is a direct regulator of FOXA2 expression in pancreatic cancer.",We found that miR-638 was developmentally up-regulated in cells of myeloid but not lymphoid lineage.
"To identify potential target genes of miR-330-3p in NSCLC, the miRNA target prediction databases were used.","In the present study, biological experiments confirmed the prediction that miR124-3p (miR124) could have direct binding with egr1."
Luciferase activity assay and real-time RT-PCR analysis confirmed that miR-330-3p is negatively correlated with the expression of early growth response 2 (EGR2).,"The increase in PBMC counts, Th1 and Th17 cells seen in PTSD patients correlated with the clinical scores."
"Moreover, it was also found that EGR2 mRNA contains two potential binding sites for miR-330-3p.","Western blot, dual luciferase reporting test were applied to investigate the mechanism."
"To directly assess the effect of miR-137 on EZH2 expression, we transfected miR-137 into U87 and SWO-38 cells and found that overexpression of miR-137 reduced the mRNA and protein levels of EZH2 (Fig.2c).",We found that both miR-17 and miR-20a (miR-17/20a) target the UBE2C gene in gastric cancer cells.
These findings indicate that EZH2 is a direct downstream target for miR-137 in GBM cells,The regulation of the miR-197/CD82 axis could be a novel therapeutic target in future HCC effective therapy.
"As mentioned above, miR-203 inhibits p63 (36).",This is the first study reporting a translationally repressive role for the MOR1 3'-UTR.
"To demonstrate that RBM28 deficiency-mediated upregulation of p63 involves at least in part miR-203, we performed a cotransfection assay.",Here we report frequent downregulation of the microRNA miR-218 in primary NPC tissues and cell lines where it plays a critical role in NPC progression.
"We utilized the reporter luciferase system under the regulation of the p63- specific responsive element, C40, and cotransfected it with miR-203 or a miR-Vec control plasmid in the presence of RBM28-specific siRNA.","Furthermore, we show that inhibition the expression of JMJD2A attenuates the growth and transformation of three lines of gastric cancer cells."
"Our results showed that in RBM28-deficient KCs, p63 upregulation is attenuated by miR-203 overexpression (Fig.3h).",MicroRNAs (miRNAs) have also been shown to play a crucial role in these biological processes by regulating the target genes.
"This demonstrates that RBM28 modulates the expression of p63, at least in part, through the activity of miR-203.",This work suggests that miR-1 genes titrate the effects of critical cardiac regulatory proteins to control the balance between differentiation and proliferation during cardiogenesis.
miR-153 regulates the expression and mRNA degradation of the target gene SET7.,Similar effects were observed by using pharmacological inhibitor of IκB Kinase (IKK) complex in multiple cell-based assays.
ZEB2 is a downstream target of miR-153 directly binding to its 3'-UTR.,MicroRNAs (miRNAs) are a class of recently discovered noncoding RNA genes that post-transcriptionally regulate gene expression.
To identify ZEB2 as a target of miR-153,The data from patient samples further reflect the significance of miR-21 as a potential target for clinical diagnosis and treatment of breast cancer bone metastasis.
"As shown in Fig.3C and D, overexpression of let-7a inhibited KRas wildtype, but not mutant luciferase reporter activities in MCF-7 and SKBR3 cells, indicating that let-7a specifically targets KRas through binding its 30 UTR directly.","MicroRNAs (miRs) are emerging as prominent players in the regulation of many biological processes, including myogenic commitment and skeletal muscle formation."
"we showed that the down-regulation of miR- 221 by metformin caused G1-phase arrest via the up-regulation of p27, one of the direct targets of miR-221.",The inhibition of cell growth and metastasis induced by up-regulation of miR-101 was partially restored by overexpression of Stmn1.
"The network also showed several novel EPN-specific interactions with genes that are involved in axon guidance (miR-29a:LAMA2, miR-29c:LAMA2), histone H3-K27 methylation (miR-106B:EZH1), chromatin modification (miR-29c:JARID2), and methylationdependent chromatin silencing (miR-29a:DNMT3B).",We further identified polo-like kinase 2 (Plk2) as a novel target of Pumilio-2 involved in the control of GluA2 surface expression.
"We report that the Fmr1-encoded protein, FMRP-mediated axonal delivery of miR-181d negatively regulates axon elongation by locally targeting the transcripts of MAP1B (Map1b) and calmodulin (Calm1) in primary sensory neurons","Knockdown of miR-143 by use of its inhibitor counteracted the vitamin C-induced reduction in Dnmt3a expression, showing that vitamin C repressed Dnmt3a expression via miR-143."
c-Met is a critical downstream target of miR-144.,"Compared with inter-implantation sites, there were 8 up-regulated miR-NAs at implantation sites, which were confirmed by both Northern blot and in situ hybridization."
"After identification of two putative miR- 144 binding sites within the 3' UTR of the human c-Met mRNA, miR-144 was proved to inhibit the luciferase activity inMUM-2B cells with a luciferase reporter construct containing the binding sites.",Luciferase reporter assay demonstrated specific binding of miR-27a-5p to the 3'UTR of VAV3.
Special AT-rich sequence-binding protein 2 (SATB2) are targets of mir-205.,"Recent studies have identified mir-218 as an anti-oncogene; however, the specific functions of mir-218-1 and mir-218-2 remain unknown, especially the latter."
miR-204 decreases BDNF 3'-UTR luciferase activity.,Enrichment analyses for these genes were performed at DAVID.
MiR-138 represses the expression of Bag-1 by targeting its 30-UTR,"To characterize a mechanism of MyoD-mediated suppression of gene expression, we investigated two genes that are suppressed in fibroblasts converted to skeletal muscle by MyoD, follistatin-like 1 (Fstl1) and Utrn."
MiR-106b directly targets RANKL,"The activities of oxidative stress related enzymes superoxide dismutase (SOD), catalase (CAT), malondialdehyde (MDA) and nitric oxide (NO) were detected using corresponding detection kits following standard protocol."
miR-144-5p functions as tumour suppressor in BC cells.,Downstream micro-RNA (miRNA) targets of BD were screened out by miRNA array.
CCNE1 and CCNE2 were directly regulated by miR-144-5p and might be good prognostic markers for survival of BC patients.,The P2X7 receptor regulates cell growth through mediation of apoptosis.
miR-26a/26b bound directly to specific sites in the 3'-UTR of LARP1 mRNA.,"We validated these results by performing gain- and loss-of-function studies with the top candidates: miR-9, miR-27a, miR-135b, and miR-146b."
"miR-125b as a post-transcriptional regulator of HOT- TIP in HCC, loss of miR-125b expression might con- tribute to the frequent up-regulation of HOTTIP in human HCC.",BACKGROUND: MicroRNA-449a is a tumor suppressor that is down-regulated in multiple tumors types.
"miR-362-5p suppresses neuroblastoma cell growth and motility, partially by targeting PI3K-C2b.","Furthermore, overexpression of miR-181a significantly enhanced the sensitivity of SGC7901/CDDP cells to cisplatin in vitro and reduced the volumes of gastric tumor xenografts in nude mice."
"CD44 is a direct target of miR-199a-3p, and the miR-199a-3p expression profile in osteoblast and osteosarcoma cell lines.",Atg5 was validated as a predicted miR-9-3p mRNA target in TT cells.
"caspase-8, caspase-3, FoxO3a, and TRAF-7 are direct targets of miR-21, miR-30c, and miR-100.","Our recent study revealed that expression of microRNA-133a (miR-133a) was significantly reduced in head and neck squamous cell carcinoma (HNSCC) and that restoration of miR-133a inhibited cell proliferation, migration and invasion in HNSCC cell lines, suggesting that miR-133a function as a tumor suppressor."
"miR-146a, miR-335 and miR-622, regulating the expression of both uPAR and CXCR4 in AML cell lines.","SP1, a potential target gene of miR-375, was inversely correlated with miR-375 expression in cervical cancer tissues."
"Indeed, these miRs directly target the 3'untranslated region of both uPAR- and CXCR4-mRNAs","In this study, we demonstrate that BMP signaling down-regulates transcription of the miRNA-302∼367 gene cluster."
"miR-337-3p directly binds the MMP-14 promoter to repress its transcription, thus suppressing the progression of NB.","Furthermore, overexpression of miR-150 lead to a significant reduction of CD133+ cells, accompanied by significant inhibition of cell growth and tumorsphere formation."
MiR-138 represses the expression of Bag-1 by targeting its 3'-UTR,"Using 3 different databases, methyl-CpG-binding protein MeCP2 was postulated to be a target of miR-212."
Cantharidin inhibits cell proliferation and promotes apoptosis in tongue squamous cell carcinoma through suppression of miR-214 and regulation of p53,"In addition, the effect of miR-34b/c on c-Met, cell cycle-related proteins, v-akt murine thymoma viral oncogene homolog (Akt) and extracellular signal-regulated kinase (ERK) pathway was determined by western blotting."
miR-650 regulates the expression of IFIT2 by directly targeting its 3' UTR.,"Conversely, the reporter activity induced by the ectopic CAR was almost completely suppressed by co-transfection with the miR-122 mimic RNA."
AKT1 and Wnt16 are direct downstream targets of miR-374b,Reintroduction of ZEB2 and MACC1 reversed miR-338-3p-induced EMT suppression.
Validation of ALDH1A3 as putative miR-187 target.,"Ectopic expression of miR-101-3p significantly repressed the invasion, proliferation, colony formation, and formation of nude mice xenografts and induced potent apoptosis in ACC cell lines."
"This was paralleled by an increase in SHIP1 protein (a direct miR-155 target) and cleaved caspase-3 (Figure 1b), indicating the onset of apoptosis.","Here, we demonstrate that microRNA-33 (miR-33) regulates ABCA1 and Aβ levels in the brain."
"MiR-148a, which targeted the SMAD2-3'UTR, decreased the expression of SMAD2.","In this study, we asked if and how miR-181a regulates MSCs' proliferation and immunosuppressive properties."
miR-202 modulates BAFF expression in BMSCs.,Data from The Cancer Genome Atlas were retrieved.
a miR-202 target site located in the 30UTR of BAFF mRNA is highly conserved in humans.,"Within the miR-144/451 locus previously implicated in erythroid development, we observed unique co-expression of several primate-specific noncoding RNAs, including a lncRNA, and miR-4732-5p/-3p."
b 293T cells were transfected with miR-202 mimics and psiCHECK-2 constructs (wild-type and mutant BAFF 30UTRs) simultaneously (*P\0.05).,"To our knowledge, however, there have been no reports of the miRNAs involved in MLS tumorigenesis and development."
"In this study, we demonstrated that BAFF was a miR- 202 regulation target.","By tail vein injection of adenovirus vector containing miR-499-5p mimics, GTT and ITT were improved in HFD-fed mice."
"miR-202 could inhibit MM cell survival, growth, and adhesion in the bone marrow microenvironment.","Del-1 has been linked to the pathogenesis of various cancers, including breast cancer."
miR-200s could directly bind to MALAT1 and suppress the expression of MALAT1 through an Ago2- dependent manner.,"P. aeruginosa GroEL, a homolog of heat shock protein 60, was identified as one of the factors responsible for inducing the expression of PTX3 in host cells."
"ByusingTargetScan(www.targetscan.org),we found that miR-148a was predicted to bind to the SMAD2-30-UTR.",Forced expression of miR-196b significantly delays MLL-fusion-mediated leukemogenesis in primary bone marrow transplantation through suppressing Hoxa9/Meis1 expression.
The target sites of miR-148a in SMAD2 mRNA are shown.,"miR-155 is upregulated in RA-FLS, and it may be a protective factor against the inflammatory effect in part by attenuating expression of IKBKE."
overexpression of miR-148a significantly decreased the luciferase activity in wild type(WT)-SMAD2.,Chromatin immunoprecipitation (ChIP) analysis was performed to detect binding of NF-κB p65 to the potential binding site of the miR-23b-27b-24-1 gene promoter in HRECs.
These results suggested that upregulation of miR- 148a by GLA contributed to suppression of endogenous SMAD2 in breast cancer cells.,These experimental and clinical results indicate that SREBP-1 is a potential oncogenic transcription factor in prostate cancer.
A p53 kinase DAPK3 was identified as a key target for miR-17/20a to promote tumorigenesis.,"Site-directed mutagenesis supports functionality of the human-specific miR-183 site, but not the conserved miR-183 site."
Mechanistic studies showed that miR-205 induction was crucial for inhibition of PHLPP2 protein translation by targeting PHLPP2-30-UTR.,Cells expressing miR-335 possessed decreased stem cell-like properties.
miR-7a suppress expression of reporter EGFP through 3'UTR region.,Increased expression levels of miR-181 family members have been shown to be associated with favorable outcome in patients with cytogenetically normal acute myeloid leukemia.
Figure 3. miR-410 targets CCNB1.,"Our further examination identified FOXO4 as a target of miR-1274a, which did not influence FOXO4 mRNA expression but significantly inhibited FOXO4 protein expression."
"CCNB1 as target of miRNA-410 since its overexpression reduces CCNB1 at protein and mRNA levels, decreasing cell proliferation",The scientific community takes a very strong view on this matter and apologies are offered to readers of the journal that this was not detected during the submission process.
CD82 enhanced the expression of miR-203 and directly downregulate FZD2 expression.,"MIF-Exo also significantly inhibited cardiomyocyte apoptosis, reduced fibrotic area, and improved cardiac function as measured by echocardiography in infarcted rats in vivo."
"A dual-luciferase assay showed that RhoA and ERK1 were the targets of miR-125a-3p and miR-483-5p, respectively.",We previously demonstrated that transient overexpression of miR-221/-222 in LNCaP promoted the development of the CRPC phenotype.
3'-UTRs of UGT2B15 and UGT2B17 Are Direct Targets of miR-376c.,"These results indicated that endometrial miR-200c expression undergoes dynamic changes during transition from normal into cancerous states; possibly influenced by hormonal milieu and by targeting the expression of specific genes with key regulatory functions in cellular transformation, inflammation, and angiogenesis may influence these events during normal and disease progression."
TP53 is a direct miR-34a target,BACKGROUND: Wnt-signalling has an important role in renal cancer and it is modulated by genistein in other cancers.
MEF2C Is a Direct Target of Both MiR-135b-5p and MiR-499a-3p.,"High density micro-RNA (miRNA) arrays, fluorescent-reporter miRNA assay and Northern miRNA dot-blot analysis show that a brain-enriched miRNA-128 is significantly down-regulated in glioblastoma multiforme (GBM) and in GBM cell lines when compared to age-matched controls."
"KDM2A, KDM4A, KDM5B, KDM7A and MED1 are direct targets of miR137.",BACKGROUND: The hsa_circ_0004771 derived from NRIP1 (called circ_NRIP1) is a recently identified oncogenic circRNA.
PAK2 is a direct target of miR-137 in melanoma cells,"Furthermore, we found that the transcription of miR-9-1 is under CREB's control, forming a negative feedback minicircuitry."
"miR-34c overexpression inhibits the Notch signaling pathway by targeting Notch1 and Jaggged1 in HG-treated podocytes, representing a novel and potential therapeutic target for the treatment of diabetic nephropathy.","More importantly, the cell cycle-associated gene cyclin D1, which is a downstream target of GATA-4, is also regulated by miR-200b."
PDGFRB and c-Myc were targets of miR-24-3p.,"We found that miR-12247-5p, miR-15c-5p, miR-15b-5p, FKBP5 and HSP90AB1 were at the center of network interaction."
Conclusion: The results suggest that miR-24-3p regulates the proliferation and migration of HASMCs by targeting PDGFRB and c-Myc.,We hypothesize that certain miRNAs may play deleterious or protective roles in ALI via the regulation of Bcl-2.
"Axin2 was identified to be a functional downstream target of miR-374a, and decreased expression of Axin2 could promote OS cell proliferation.",The expression of FoxM1 was gradually increased in human gastric specimens from inflammation to cancer.
"Conclusion: Our study suggested that miR-374a functions as an oncogene in OS, and the miR-374a/Axin2 axis might represent a potential therapeutic target for OS intervention.","Lysophosphatidic acid (LPA) is a mitogenic lipid present within the ovarian tumor microenvironment and induces LPA receptor activation and intracellular signaling cascades like ERK/MAPK, leading to enhanced cellular proliferation."
We subsequently identified that AKT1 was a target gene of miR-185.,Abnormal expression of microRNAs (miRNAs) has been implicated in carcinogenesis.
Reexpression of AKT1 could partially rescue the inhibitory effects of miR-185 on the capacity of NSCLC cell proliferation and motility.,Idiopathic pulmonary fibrosis (IPF) is a chronic progressive lung disease that typically leads to respiratory failure and death within 3-5 years of diagnosis.
"Collectively, we conclude that miR-185 has a critical function by blocking AKT1 in NSCLC cells, and it may be a novel therapeutic agent for miRNA based NSCLC therapy.",Repression of LDHA by miR-34a suppressed glycolysis and cell proliferation in breast cancer cells in vitro.
These results indicate that miR-151a-5p may participate in the regulation of cellular respiration and ATP production through targeting Cytb.,"Subsequently, Bcl-2 was identified as a potential miR-449a target by bioinformatics analysis."
"Importantly, downregulation of E2F3 mimicked the effect of overexpression miR-874 in OS cells, and E2F3 overexpression partially attenuated the tumor-suppressive effects of miR-874 in OS cells.","In vitro, miR-449a promoted breast cancer cell proliferation, clonogenic survival, migration, and invasion."
"Taken together, these findings suggested that miR-874 might suppress the growth and metastasis of OS cells partially by targeting E2F3.","Recently miR-122 has been reported to be regulated by CEBPA, which is then involved in a novel pathway to influence proliferation of tumor cells."
Lin28 may suppress tumor malignancy of gastric cancer cells through inhibition of let-7 microRNA biogenesis and could be a potential target for gastric cancer therapy.,"Bioinformatics analyses showed that miR-429 targeted the 3'-untranslated region of both ZEB1 and ZEB2 mRNA to inhibit their translation, which was confirmed by luciferase reporter assay."
miR-302a as a novel modulator of cholesterol efflux and a potential therapeutic target for suppressing atherosclerosis.,CO(2) sensation represents an interesting example of nervous system and behavioral evolutionary divergence.
"Using miRNA microarray analysis, we found that miR-24-3p was highly expressed in TW03 cells and TW03-derived exosomes (T-EXOs) as compared with NP69 cells and NP69-derived exosomes (N-EXOs) (Figure 1A, B).","Taken together, our findings suggested that miR-320a could play a role in modulation of inflammatory cytokins production."
"Importantly, we found that the level of serum exosomal miR-24-3p was significantly correlated with reduced DFS in the NPC patients (p<0.05, Figure 1E).","Here we report that microRNA-205 (miR-205), a molecule also reported to be associated with breast cancer, is negatively regulated by erbB2 overexpression."
"Consistent with the alterations in the T-cell proliferation index, administration of miR-24-3p-sponge-T-EXOs reversed the decrease in P-ERK expression mediated by control-sponge-T-EXOs during T-cell proliferation (Figure 2D).","Re-expression of miR-218 resulted in a significant decrease in medulloblastoma cell growth, cell colony formation, cell migration, invasion, and tumor sphere size."
"Taken together, these in vivo and in vitro data indicate that FGF11 is a direct target of miR-24-3p.","qRT-PCR assay was used to validate and select the miRNAs with differential expression among the three groups, and the computer-aided algorithms of TargetScan, miRanda, miRwalk, RNAhybrid and PicTar were used to search for the possible targets of the selected 8 miRNAs (miR-18a, miR-18b, miR-31, miR-142-5p, miR-145, miR-212, miR-451, and miR-638) with continuous alterated expression."
These results suggested that the association of SNP rs2278414 with ARC might involve an altered miRNA regulation of ZNF350.,We hypothesized that miR-34a may play a role in the process of hepatic fibrosis by targeting ACSL1.
We found that the level of ZNF350 mRNA was decreased in tissues from ARC individuals carrying the minor A allele in all subjects compared with the GG genotype.,The C allele that results from a spontaneous alteration (DKK2 c.-1130 T > C) in the core promoter was associated with a higher total number born (TNB) and a higher number born alive (NBA) in all parities in a synthetic pig population.
"Cotransfection with miR-21-3p and miR-150-5p inhibitors, chemically synthesized oligonucleotides that neutralize endogenous miRNA, significantly recovered the activities of reporter gene with1 the rs2278414 A allele (Fig.4C and D), whereas there was no change observed for reporter gene expression with G allele treated with the inhibitors (P > 0.05).","In addition, as ADAM9 and MMP7 share a role in the proteolytic cleavage of the HB-EGF precursor, we looked for the effectiveness of this regulatory pathway in melanoma, confirming the decrease of HB-EGF activation as a consequence of miR-126&126*-dependent downmodulation of ADAM9 and MMP7."
We found that overexpression of miR-503-5p in BMSCs attenuated stretch-induced osteogenic differentiation while the effect was reversed by miR-503-5p inhibition treatment.,"Cell proliferation, wound healing and transwell assays elucidated that miR-1262 is a novel GCA tumor suppressor."
"In vivo studies, overexpression of miR-503-5p with specific agomir decreased Runx2, ALP mRNA, and protein expression, decreased osteoblast numbers and osteoblastic bone formation in the OTM tension sides.",miR-202 over-expression sensitized MM cells to bortezomib (Bort) but less to Thalidomide (Thal) and dexamethasone (Dex).
"Furthermore, themRNAlevels of the osteogenic-related markers Runx2, Osterix up-graduated after mechanical loading (Figures 1j and 1k).","Moreover, there are strong gene-gene interactions between ARL4C and genes in p53 signaling, and ARL4C downregulation could inhibit the protein expression of MDM2, a critical gene in p53 pathway."
"Rno-miR-34c-3p and rno-miR-326-5p were over-expressed in stretched groups, whereas rno-miR-30a-5p, rno-miR-324-5p, rno-miR-188-5p, rno-miR-345-3p, rno-miR-503-5p, rno-miR-29b-3p, rno-miR-351-3p were down-regulated after stretch loaded (Figure 2a and Table 1).",MicroRNA-195 may have the potential to reduce neointimal formation in patients receiving stenting or angioplasty.
"As shown in Figure 2c, the expression of miR-503-5p was decreased time-dependently and reached its minimum level at 12 h after stimulus loaded (P<0.01), suggesting that miR-503-5p might function as the mechano-sensitive miRNA to participate in stretch induced osteogenic differentiation.",It provides new insight into the effect of chronic HBV infection on NER and genetic instability in cancer.
we detected the miR-503-5p expression profile by qRT-PCR and the results showed that miR-503-5p levels saw a series of alterations as the loading time prolonged.,"Furthermore, we elucidated the tumor suppressor role of miR-23b using in vitro and in vivo models."
"The most highly expressed miR was miR-1; its expression was ~4-fold greater than that of miR-206, the next most highly expressed miR (Table 1).",The Cancer Genome Atlas (TCGA) data showed the correlation of miR-496 expression with better overall survival in patients with early TNBC.
"The next-most highly expressed miRs were, in descending order, miRs 23a, 378, 22 and 126 (Table 1).","When secreted, p43 regulates local inflammatory response and macrophage chemotaxis, and seems to have anti-neoplastic properties in mice."
"An alignment of the 3' UTR of Cited2 from 23 species was performed and revealed that the miR-145 seed sequence found in the mouse Cited2 mRNA is highly conserved across 20 species, including rats (S1 Fig) but was absent from guinea pig (Cpo) and cat (Fca), and mutated in frog (Xtr).",Further identification of putative target genes of DE miRNA by AgNPs and Ag ions may provide additional clues for the mechanism of differential toxicity.
"Compared with control group, hypoxia/ reoxygenation-induced up-expression of CBP in cardiomyocytes was confirmed byWestern blot for CBP protein (versus control group, P b 0.05).",These defects could be rescued by inducing homer-1b expression at later stage.
"As shown in Fig.5A, transfection of Ad-miR-22 significantly decreased the level of CBP in cardiomyocytes (versus H/R group, P b 0.05) while transfection of Ad-scramble did not exhibit this effect (versus H/R group, P N 0.05).",These tumor-associated miRNAs influenced the survival and longevity of DCs by affecting the expression of multiple molecules that are associated with apoptotic signaling pathways.
"In addition, we used EMSA to observe the CBP related transcriptional factor, AP-1 binding activity in cells.","The expression of miR-449a induced cell apoptosis, as observed by TdT-mediated dUTP nick end labeling and caspase 3/7 assays, and was rescued by Bcl-2 expression."
"Similarly, hypoxia/reoxygenation markedly increased the DNA-binding activity of AP-1 (P b 0.05, versus control).","We have thoroughly validated TBC1D2/Armus, a GAP of Rab7 GTPase, as a novel target of miR-17."
"Transfection with Ad-miR-22 could attenuate hypoxia/reoxygenation-induced enhancement in AP-1 activity (versus H/R group, P b 0.05, Fig.5B).","AIMS: MicroRNA-21 (miR-21) expression is increased in many types of human malignancy, including glioma."
"To determine whether BRCC2 3'-UTR is direct target of miR- 17-5p, BRCC2 3'-UTR reporter constructs or 3'-UTR mutant controls were transfected into osteosarcoma cells before transfection with miR-17-5p and luciferase activity was measured (Fig.8A).",Extrapolation of these data to in vivo studies in a rat model of acute myocardial infarction predominantly improved stem cell survival after engraftment with a role for miR-210.
"As shown in Fig.8B and 8C, the luciferase activity was significantly decreased in osteosarcoma cells overexpressing miR-17-5p co-transfected with 3'-UTR-BRCC2-wt vector and miR-17-5p mimic compared with those co-transfected with 3'-UTR-BRCC2-mut vector and miR-17-5p mimic.",These results suggest that miR132/212 can serve as a novel cellular node to fine-tune and amplify Ang II actions in VSMC.
"Furthermore, as shown in Fig.8D and E, increasing activity was observed in osteosarcoma cells silencing miR-17-5p, suggesting that the fragment at the 3'-UTR of the BRCC2 was the complementary site for the miR-17-5p seed region, and thus, that BRCC2 was a direct target of miR-17-5p.","Overexpressing FGF2 downregulated the expressions of miR-23b-3p, SPC and Occludin, increased the LWW/BW ratio and aggravated histopathological abnormalities, while upregulating IL-1β, IL-6, IL-4, and IL-8, and it offset miR-23b-3p upregulation-caused effects on the ALI mice."
"Moreover, BRCC2 expression was inversely proportional to miR-17-5p expression in osteosarcoma tissues (Fig.8F).",ATM siRNA transfection significantly enhanced cell proliferation and increased the ratio of S-phase cells in vitro.
"Therefore, it was shown that miR-17-5p directly inhibits BRCC2 expression.","The embryonic stem cell (ESC) transcriptional and epigenetic networks are controlled by a multilayer regulatory circuitry, including core transcription factors (TFs), posttranscriptional modifier microRNAs (miRNAs), and some other regulators."
Sufu is a direct target of miR-214 in LAD cells,"Functional studies revealed that knockdown of LINC00665 inhibited DDP-resistant GC cell proliferation, induced apoptosis as well as suppressed Endoplasmic reticulum (ER) stress."
Gene binding site report that PKM2 gene may be the target gene of miR-133b;,"In the current study, the mechanism of p53 protein ubiquitination mediated by miR-100 was characterized."
Bmi-1 was downregulated in the presence of miR-495.,"In this study, we identified a DDP-sensitive and a DDP-resistant cell line from four candidate human NSCLC cell lines."
MiR-495 Promotes Senescence of Mesenchymal Stem Cells by Targeting Bmi-1,"Over-expression of miR-92b increased cell proliferation, whereas knockdown of miR-92b decreased cell proliferation via modulating the levels of the target, Target prediction analysis and a dual luciferase reporting assay confirmed that the inhibitory protein-coding Dickkopf-3 gene (DKK3) was a direct target of miR-92b."
The results revealed that miR 630 overexpression significantly decreased EMT and prop erties of migration and invasion of GC cells.,These examinations used the same tissue microarrays to analyze the relationships between miR-200a and potential target genes.
These effects might be by regulating the expression of FoxM1.,Our previous study demonstrated that TLR9 signaling could enhance the tumor progression of human lung cancer cells in vitro and in vivo.
"Together, our results demonstrated that miR630 might be a thera peutic target for the treatment of GC.",HEK (human embryonic kidney)-293 cells were co-transfected with the mCherry-3'UTR plasmid and a pSM30-based plasmid with a microRNA insert.
"Furthermore, methyl-CpG binding domain protein 2 (MBD2) was identified as a direct target gene of miR-221.","The synergistic effect of miR-190 and its target genes demonstrates a complex but apparently more stable system, allowing for the tight control of the level of VEGF."
"As previously reported, E2F1,6 MUC1,7 TYR,8 and PDIA310 are the targets ofmiR-330-5p in human tissues.","Furthermore, using an in vitro I/R model in miR-181c/d-/- neonatal mouse ventricular myocytes, we confirmed the contribution of both Sp1 and MICU1 in ischemic injury."
"The Akt/GSK3b pathway contributed to Orai1 effects in CRC cells, and Orai1 was a direct target of miR-519, a microRNA not previously reported to be involved in both CRC tissues and cell lines.","BACKGROUND: Drug resistance in colorectal cancers is assumed to be mediated by changes in the expression of microRNAs, but the specific identities and roles of microRNAs are largely unclear."
"THSD7A was validated as a direct target of miR-210 using quantitative real time PCR (qRT-PCR), Western blotting, and dual luciferase assays in HTR8/SVneo cells.",In vitro drug sensitivity assay demonstrated that overexpression of miR-15b or miR-16 sensitized SGC7901/VCR cells to anticancer drugs whereas inhibition of them using antisense oligonucleotides conferred SGC7901 cells MDR.
We found that EphB2 is a direct target of miR-204 among miRNAs that were upregulated with age.,"Remarkably, miR-7a targets five components of the mTOR signaling pathway."
Data from reporter assays showed that miR-455 directly binds to 30UTR of ZEB1 and suppresses the endogenous level of ZEB1 protein expression.,Non-small cell lung cancer (NSCLC) is a complex disease in need of new methods of therapeutic intervention.
